"","LS_K2","LS_K4","LS_K5","LS_K7","NL_K1","NL_K3","NL_K6","Normal_410","Normal_N19","Normal_N1","Normal_N20","Normal_N2","Normal_N3"
"ENSG00000147571",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173334",517,491,705,660,695,602,905,510,917,686,784,555,476
"ENSG00000253107",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170961",122,181,429,273,231,251,205,188,507,166,315,193,270
"ENSG00000254008",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254388",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253956",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156802",96,111,236,203,95,404,327,187,209,73,372,144,128
"ENSG00000253122",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239872",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222589",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242079",0,0,0,1,2,0,1,0,0,0,0,3,0
"ENSG00000206661",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222546",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263407",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239078",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197334",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000284321",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263616",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207244",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207415",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201815",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263762",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212433",0,1,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000200713",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264512",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283210",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207128",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266206",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207701",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283523",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200630",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252179",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264092",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222267",6,4,3,1,1,3,2,0,1,0,3,1,5
"ENSG00000207600",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206996",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201157",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207027",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201761",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252264",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206950",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252035",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199127",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274988",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252067",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264788",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240189",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239175",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200719",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000252505",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221616",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199620",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263794",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252735",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206871",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238936",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276685",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252710",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222099",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206867",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239039",0,0,0,0,0,0,0,0,0,0,1,1,0
"ENSG00000274467",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277418",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199640",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251835",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201316",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263372",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206852",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200528",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276353",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200986",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222955",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201231",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201763",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252358",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202265",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206975",0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000239580",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252210",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212473",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200714",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222205",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206853",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222889",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277740",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207816",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243532",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252594",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275128",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223220",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252509",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252057",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206649",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239184",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238808",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252884",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223293",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222231",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251904",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277604",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199405",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277063",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265588",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207036",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206701",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202095",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202112",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284288",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242315",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252935",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252755",0,2,0,3,0,0,1,0,0,0,0,1,0
"ENSG00000207215",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222416",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239211",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207378",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200151",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241550",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276673",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207067",9,12,19,8,12,13,17,6,13,8,11,10,2
"ENSG00000202310",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199667",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265657",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212414",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221387",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202399",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221753",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252558",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252593",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206719",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266756",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275041",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200806",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265599",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199450",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207334",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206776",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251840",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239115",0,0,0,0,2,0,0,0,0,0,1,0,0
"ENSG00000199354",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244033",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242170",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240151",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238399",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201782",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252297",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276193",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276479",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283172",0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000252158",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202360",0,3,0,1,0,5,1,0,0,1,0,2,0
"ENSG00000244642",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252852",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207582",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207704",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199153",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222795",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199732",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202356",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238372",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212273",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278374",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265247",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222146",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276961",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266712",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221261",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221768",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238901",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206695",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253602",0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSG00000212221",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276140",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277732",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278454",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271555",0,4,1,0,2,3,2,0,1,0,3,0,1
"ENSG00000288611",0,10,6,5,15,36,15,24,27,53,38,18,38
"ENSG00000248911",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000147535",627,729,905,913,383,767,639,603,510,576,659,571,497
"ENSG00000147548",1089,1088,1590,1588,963,1750,1566,1347,1552,1035,1681,1504,1510
"ENSG00000255487",4,1,1,1,0,0,2,0,0,1,0,0,0
"ENSG00000254898",4,4,0,0,0,2,0,2,0,2,2,0,0
"ENSG00000272092",11,22,1,4,17,15,15,11,15,20,11,23,9
"ENSG00000272159",25,16,23,12,7,19,20,6,12,16,26,17,9
"ENSG00000255201",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239218",2,0,2,4,2,4,3,0,1,3,3,3,14
"ENSG00000196166",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253570",0,2,2,2,9,3,7,3,32,2,5,5,2
"ENSG00000254321",1,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000207258",0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000253574",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250733",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278324",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221771",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000207110",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283200",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278275",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222501",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221176",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280055",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269954",9,2,4,4,12,4,20,0,12,9,18,26,6
"ENSG00000170983",0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSG00000227203",8,17,18,8,3,11,11,9,1,4,8,4,7
"ENSG00000079459",2177,2697,2075,2564,3617,6210,3411,6709,4087,5363,4330,4537,3772
"ENSG00000255046",1,5,1,3,0,8,7,6,13,8,6,9,5
"ENSG00000255144",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199985",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274489",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243503",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219491",0,0,0,1,0,0,0,0,1,0,0,0,1
"ENSG00000254238",0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000253712",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253229",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254023",0,0,1,0,0,1,0,1,1,0,2,1,2
"ENSG00000249395",0,0,2,0,0,0,0,12,0,1,1,0,0
"ENSG00000104415",2654,1066,2541,2064,69,207,182,114,121,156,218,189,227
"ENSG00000243537",2,0,1,2,1,3,0,0,1,1,0,0,0
"ENSG00000253638",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000160882",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000129696",178,235,258,229,271,361,319,205,218,232,241,187,187
"ENSG00000205268",300,313,641,457,237,657,443,305,336,260,608,279,326
"ENSG00000104450",125,110,215,264,183,589,663,615,753,405,331,421,413
"ENSG00000104435",53,345,129,163,184,562,236,371,221,350,220,342,269
"ENSG00000154328",884,851,758,995,911,979,874,911,1106,953,956,888,1044
"ENSG00000104369",6,8,23,20,17,91,40,47,70,42,11,22,36
"ENSG00000253596",0,0,0,1,2,2,0,1,0,0,0,0,0
"ENSG00000207417",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266502",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283505",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254349",0,0,1,0,0,2,2,0,0,0,0,0,0
"ENSG00000253341",3,6,10,8,11,14,9,20,14,23,13,15,13
"ENSG00000254080",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000283188",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253777",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253944",0,0,0,0,0,1,0,1,0,1,1,0,0
"ENSG00000253671",4,18,15,11,10,55,75,26,40,25,86,34,10
"ENSG00000104760",1,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000253215",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254054",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000104763",2008,2426,3340,4151,2672,5319,5015,5860,5130,4901,4735,4140,4451
"ENSG00000253384",0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000286542",3,5,1,3,9,10,11,10,9,5,6,6,12
"ENSG00000254015",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237810",0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000285971",2,4,1,1,2,0,0,0,0,0,2,0,0
"ENSG00000254050",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253975",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287105",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253517",0,0,1,0,0,0,0,0,0,0,0,1,0
"ENSG00000253431",2,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000240915",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253121",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137561",0,1,0,0,0,4,2,4,7,12,6,3,0
"ENSG00000253555",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000185728",526,463,1222,1137,532,1010,1025,1106,988,794,903,773,935
"ENSG00000261542",10,27,7,11,5,20,11,1,13,8,13,12,8
"ENSG00000241964",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253706",0,0,1,0,2,9,4,4,2,2,1,0,0
"ENSG00000137558",25,13,122,64,16,46,26,73,25,34,39,35,8
"ENSG00000254043",0,4,0,0,15,23,15,15,6,11,9,22,0
"ENSG00000104381",65,126,164,138,76,203,127,154,149,119,188,126,119
"ENSG00000277586",134,130,54,79,9,12,10,14,54,60,28,54,36
"ENSG00000283327",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253832",0,1,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000288055",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253225",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222755",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253926",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263763",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285108",116,233,160,268,41,190,278,40,205,40,190,70,235
"ENSG00000224110",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000147697",973,1598,1438,2716,810,1885,2637,1267,1640,1039,1410,1439,650
"ENSG00000284054",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260428",280,203,152,67,31,45,21,22,29,30,9,39,30
"ENSG00000185122",1483,1976,1418,1332,2090,2325,2007,2477,2469,2956,1314,3374,2503
"ENSG00000185000",819,1268,996,884,1007,1207,1272,1172,1118,1984,724,1319,1328
"ENSG00000254690",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284229",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261678",0,0,0,2,0,1,0,1,2,0,1,0,0
"ENSG00000271698",8,7,5,3,0,4,2,0,0,0,0,1,5
"ENSG00000182325",481,698,524,517,564,869,713,422,735,560,505,538,658
"ENSG00000173137",281,496,240,279,295,503,358,301,350,358,196,309,319
"ENSG00000071894",2334,2938,3077,2971,2085,3682,3789,2788,2676,3095,1958,3086,3750
"ENSG00000284310",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284139",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283770",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272115",0,0,0,0,0,0,0,1,2,1,0,2,0
"ENSG00000147804",129,256,119,187,247,208,182,346,163,225,160,370,277
"ENSG00000160948",3373,5244,2704,2815,4629,4638,4057,3972,4418,7309,2881,5526,4760
"ENSG00000261236",913,1090,895,758,916,908,780,1216,1082,1686,481,1442,927
"ENSG00000185803",962,988,1043,771,895,869,832,1335,1211,1368,436,1061,1240
"ENSG00000171428",85,72,132,146,73,92,86,64,105,76,107,59,54
"ENSG00000253937",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244593",2,1,2,0,0,0,1,0,0,1,0,1,0
"ENSG00000285624",0,0,1,2,0,1,2,0,1,0,0,0,0
"ENSG00000271654",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000250494",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254687",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260484",0,1,0,0,0,4,0,0,0,0,0,0,0
"ENSG00000274295",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000022567",365,437,663,862,571,1195,1251,987,1570,657,459,1036,463
"ENSG00000280035",0,0,0,1,0,0,3,1,0,0,0,1,0
"ENSG00000253307",1,1,1,1,0,1,6,0,4,0,1,1,0
"ENSG00000254019",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254197",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000254291",0,0,2,4,0,2,5,3,6,1,0,4,0
"ENSG00000253595",7,6,14,37,20,11,63,13,37,10,22,26,0
"ENSG00000261655",39,57,34,39,23,37,25,15,30,48,17,25,39
"ENSG00000204882",5,2,6,9,5,7,5,3,4,3,4,5,4
"ENSG00000244998",0,1,4,2,1,2,0,2,0,2,0,0,4
"ENSG00000271959",26,142,35,31,19,60,55,13,47,16,30,34,26
"ENSG00000238854",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253605",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240905",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241997",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236814",5,3,10,1,1,10,8,1,6,2,4,6,2
"ENSG00000238650",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253603",0,0,0,0,1,0,0,1,0,1,0,1,0
"ENSG00000248578",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000172680",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221093",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181690",13,20,39,45,27,93,64,48,43,28,63,35,33
"ENSG00000170791",276,516,369,436,412,686,729,557,605,386,696,556,343
"ENSG00000272343",7,10,8,2,21,13,18,8,24,10,19,4,6
"ENSG00000254216",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000104419",5688,5371,10495,9797,8427,13461,11586,21557,14278,13127,8650,12540,19139
"ENSG00000133742",0,1,2,2,0,1,0,1,17,2,0,0,8
"ENSG00000176209",655,724,463,612,928,912,826,803,980,746,930,888,719
"ENSG00000104447",407,395,968,564,288,841,554,532,498,494,1077,663,531
"ENSG00000120910",421,492,406,440,301,465,332,448,352,373,364,419,380
"ENSG00000254673",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000168522",1132,1647,1295,1435,1086,1819,1547,1110,1492,990,1848,1115,1136
"ENSG00000200731",0,0,0,2,0,0,0,0,0,0,3,0,0
"ENSG00000254198",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000165102",4081,3249,4765,4945,3166,4963,3804,4128,6561,3988,4461,4848,5059
"ENSG00000253611",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253884",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255166",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253312",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253186",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253606",0,0,0,1,0,0,0,0,1,0,0,0,0
"ENSG00000234713",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253707",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188877",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238509",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255497",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254342",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201329",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000168333",2,14,3,7,16,17,13,45,28,70,42,38,60
"ENSG00000198010",8,15,12,6,8,22,16,18,18,11,27,9,5
"ENSG00000185900",587,396,942,952,474,711,736,818,1097,651,851,739,849
"ENSG00000129292",466,510,1125,961,274,905,722,493,672,327,852,415,442
"ENSG00000136960",1122,1877,1787,2273,610,1409,1432,1035,974,1033,1226,897,1234
"ENSG00000165046",24,24,37,37,5,28,18,21,22,8,28,12,20
"ENSG00000214814",15,7,97,53,0,1,0,1,5,2,3,0,0
"ENSG00000261787",0,0,0,0,0,0,0,0,0,0,1,1,0
"ENSG00000253223",0,0,2,2,0,3,2,0,3,0,0,0,1
"ENSG00000121022",608,914,944,843,640,1460,1192,838,954,590,1157,931,738
"ENSG00000252637",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250869",0,0,0,0,0,0,1,1,0,0,0,0,0
"ENSG00000066777",766,879,1161,1187,562,1705,1404,1222,1477,640,1604,863,1123
"ENSG00000287214",3,0,0,1,4,2,7,7,8,7,8,19,0
"ENSG00000271966",7,24,15,14,1,5,6,2,2,5,9,7,0
"ENSG00000181135",316,330,302,408,445,477,533,431,525,388,349,495,415
"ENSG00000181097",30,25,21,41,22,43,58,29,37,33,36,28,64
"ENSG00000255181",1,0,0,0,0,2,0,0,0,2,0,0,0
"ENSG00000254574",0,0,3,0,1,2,1,0,1,0,0,0,3
"ENSG00000181085",25,133,31,40,201,318,192,110,157,72,74,89,53
"ENSG00000254548",4,7,0,6,6,31,21,26,30,9,7,11,19
"ENSG00000180921",1811,2049,1632,2524,4188,4352,4383,8308,6546,6823,3073,6279,6912
"ENSG00000265660",0,0,1,1,3,6,3,10,12,2,2,1,7
"ENSG00000254973",1,3,0,0,3,4,7,6,3,2,1,6,0
"ENSG00000180900",1479,2069,1501,1864,1957,3053,2392,4092,3372,2984,1318,3114,3139
"ENSG00000284224",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287222",23,26,35,25,18,45,23,30,28,24,41,38,35
"ENSG00000255343",2,2,0,1,0,2,1,2,1,0,1,5,0
"ENSG00000185189",411,1221,1000,1285,616,3832,2884,1200,1861,770,1711,1174,1476
"ENSG00000284142",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285599",1,1,2,6,0,3,3,0,0,0,6,3,0
"ENSG00000261150",458,684,350,555,2284,970,2051,2616,2700,2746,1794,2179,6451
